Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"Jual Tanah Area Strategis Kawasan Cempaka Putih, Luas 754m², Potensi Bagus",Rp13 Miliar Total,"Harga per m² Rp.17,2 Juta",LT754 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,Dijual Kavling Lokasi Bagus di Jakpus Harga Nego,"Rp91,4 Miliar Total",Harga per m² Rp.60 Juta,LT1524 m²,SHM,,,,"Cikini, Jakarta Pusat",Jakarta Pusat,menteng,
,"HARGA TERBAIK! Tanah di Kemayoran, Luas 1854m², Area Premium",Rp602 Juta Total,"Harga per m² Rp.32,5 Juta",LT1854 m²,SHM,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"Dijual Tanah Lokasi Prima di Petojo, Luas 555m², Dekat Petojo, Jakarta Pusat, Jakarta Pusat","Rp17,9 Miliar Total",lebih hemat,LT555 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"HARGA TERBAIK! Tanah Kawasan Menteng, Luas 1012m², Dekat Jalan Utama, Cocok untuk Hunian",Rp121 Miliar Total,Harga per m² Rp.120 Juta,LT1012 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"For Sale Tanah di Senen, Luas 319m², Dekat Senen, Jakarta Pusat, Jakarta Pusat","Rp7,2 Miliar Total","Harga per m² Rp.22,5 Juta",LT319 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Kawasan Petojo, Luas 267m², Kawasan Bisnis","Rp5,25 Miliar Total","Harga per m² Rp.19,6 Juta",LT267 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"Tanah di Gajah Mada, Luas 3593m², Dekat Jalan Raya",Rp127 Miliar Total,lebih hemat,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"LOKASI PREMIUM! Tanah di Senen, Luas 2035m², Cocok untuk Investasi",Rp173 Miliar Total,Harga per m² Rp.85 Juta,LT2035 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Dijual Tanah Kawasan Cideng, Luas 956m², Lokasi Potensial",Rp60 Miliar Total,"Harga per m² Rp.62,7 Juta",LT956 m²,SHM,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Area Potensial di Senen, Luas 4241m², Dekat ke Fasilitas Umum",Rp169 Miliar Total,Harga per m² Rp.40 Juta,LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah di Petojo, Luas 460m², Kawasan Bisnis",Rp16 Miliar Total,"Harga per m² Rp.34,7 Juta",LT460 m²,SHM,,,,"Petojo, Jakarta Pusat",Jakarta Pusat,Petojo,
,"Jual Tanah Area Prospektif Kawasan Johar Baru, Luas 650m², Dekat Johar Baru, Jakarta Pusat, Jakarta Pusat",Rp11 Miliar Total,"Harga per m² Rp.16,9 Juta",LT650 m²,SHM,,,,"Johar Baru, Jakarta Pusat",Jakarta Pusat,johar baru,
,"HARGA MENARIK! Tanah Kawasan Glodok, Luas 670m², Area Nyaman, Bebas Banjir",Rp9 Miliar Total,"Harga per m² Rp.13,4 Juta",LT670 m²,SHM,,,,"Glodok, Jakarta Pusat",Jakarta Pusat,Glodok,
,"Tanah Strategis di Menteng, Luas 398m², Cocok untuk Perumahan","Rp79,6 Miliar Total",Harga per m² Rp.20 Miliar,LT398 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Area Berkembang Kawasan Hasyim Ashari, Luas 180m², Akses ke Fasilitas Umum, Dekat Hasyim Ashari, Jakarta Pusat, Jakarta Pusat",Rp3 Miliar Total,"Harga per m² Rp.16,6 Juta",LT180 m²,SHM,,,,"Hasyim Ashari, Jakarta Pusat",Jakarta Pusat,Hasyim Ashari,
,"For Sale Tanah di Menteng, Luas 600m², Area Berkembang",Rp20 Miliar Total,"Harga per m² Rp.33,3 Juta",LT600 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah di Menteng, Luas 496m², Akses Jalan Utama","Rp19,9 Miliar Total",lebih hemat,LT496 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"AREA PROSPEKTIF! Tanah di Senen, Luas 4241m², Akses Fasilitas Umum, Kawasan Potensial",Rp159 Miliar Total,"Harga per m² Rp.37,4 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"POTENSIAL! Tanah di Menteng, Luas 1100m², Lokasi Strategis",Rp107 Triliun Total,Harga per m² Rp.98 Miliar,LT1100 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Lokasi Prima di Gambir, Luas 171m², Akses Transportasi","Rp2,6 Miliar Total","Harga per m² Rp.15,2 Juta",LT171 m²,SHM,,,,"Gambir, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Area Potensial di Gunung Sahari, Luas 316m², Kawasan Nyaman, Dekat Gunung Sahari, Jakarta Pusat, Jakarta Pusat","Rp6,7 Miliar Total","Harga per m² Rp.21,2 Juta",LT316 m²,SHM,,,,"Gunung Sahari, Jakarta Pusat",Jakarta Pusat,Gunung Sahari,
,"AREA PROSPEKTIF! Tanah di Senen, Luas 4241m², Dekat Transportasi, Kawasan Potensial","Rp37,5 Juta Total","Harga per m² Rp.8,84 Ribu",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Jual Tanah Area Berkembang Kawasan Cempaka Putih, Luas 1386m², Akses Transportasi",Rp38 Miliar Total,"Harga per m² Rp.27,4 Juta",LT1386 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"Tanah Komersial di Cempaka Putih, Luas 992m², Pinggir Jalan","Rp21,8 Miliar Total",Harga per m² Rp.22 Juta,LT992 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"AREA PROSPEKTIF! Tanah di Bungur, Luas 202m², Akses Fasilitas Umum, Kawasan Berkembang",Rp6 Miliar Total,"Harga per m² Rp.29,7 Juta",LT202 m²,Lainnya,,,,"Bungur, Jakarta Pusat",Jakarta Pusat,senen,
,"For Sale Tanah Kawasan Senen, Luas 4241m², Lokasi Berkembang",Rp159 Miliar Total,"Harga per m² Rp.37,5 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Kawasan Senen, Luas 4241m², Area Premium, Cocok untuk Properti",Rp160 Miliar Total,"Harga per m² Rp.37,7 Juta",LT4241 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Lokasi Potensial di Menteng, Luas 1019m², Akses ke Fasilitas",Rp95 Miliar Total,"Harga per m² Rp.93,2 Juta",LT1019 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Kawasan Tanah Abang, Luas 490m², Lingkungan Nyaman, Kontur Rata",Rp46 Miliar Total,"Harga per m² Rp.93,8 Juta",LT490 m²,SHM,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
,"Jual Tanah Area Premium di Percetakan Negara, Luas 274m², Ideal untuk Investasi","Rp3,9 Miliar Total","Harga per m² Rp.14,2 Juta",LT274 m²,SHM,,,,"Percetakan Negara, Jakarta Pusat",Jakarta Pusat,Percetakan Negara,
,"Tanah Potensial Kawasan Cempaka Putih, Luas 1381m², Pinggir Jalan",Rp40 Miliar Total,"Harga per m² Rp.28,9 Juta",LT1381 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"HARGA MENARIK! Tanah di Senen, Luas 1075m², Lokasi Berkembang",Rp25 Miliar Total,"Harga per m² Rp.23,2 Juta",LT1075 m²,SHM,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"LOKASI STRATEGIS! Tanah di Senen, Luas 4241m², Kawasan Potensial, Cocok untuk Investasi",Rp159 Miliar Total,"Harga per m² Rp.37,5 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah di Gambir, Luas 602m², Kawasan Bisnis",Rp37 Miliar Total,"Harga per m² Rp.61,4 Juta",LT602 m²,SHM,,,,"Gambir, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah Lokasi Potensial Kawasan Cideng, Luas 328m², Akses ke Fasilitas",Rp10 Miliar Total,"Harga per m² Rp.30,4 Juta",LT328 m²,SHM,,,,"Cideng, Jakarta Pusat",Jakarta Pusat,gambir,
,"Tanah di Gajah Mada, Luas 3593m², Sertifikat Hak Milik, Dekat Gajah Mada, Jakarta Pusat, Jakarta Pusat",Rp127 Miliar Total,lebih hemat,LT3593 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"Tanah Lokasi Strategis Kawasan Cempaka Putih, Luas 604m², Dekat ke Pusat Kota, Dekat Cempaka Putih, Jakarta Pusat, Jakarta Pusat","Rp9,6 Miliar Total","Harga per m² Rp.15,8 Juta",LT604 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"AREA PROSPEKTIF! Tanah Kawasan Cempaka Putih, Luas 992m², Akses Transportasi, Kawasan Potensial","Rp21,8 Miliar Total",Harga per m² Rp.22 Juta,LT992 m²,SHM,,,,"Cempaka Putih, Jakarta Pusat",Jakarta Pusat,Cempaka Putih,
,"LOKASI STRATEGIS! Tanah di Tanah Abang, Luas 140m², Area Nyaman, Cocok untuk Hunian",Rp5 Miliar Total,"Harga per m² Rp.35,7 Juta",LT140 m²,Lainnya,,,,"Tanah Abang, Jakarta Pusat",Jakarta Pusat,Tanah Abang,
